validation_scope,split_name,holdout_key,target,model,n_rows,n_train,n_holdout,n_groups,n_folds,mean_runtime_min,mae,rmse,r2,spearman,normalized_mae_runtime_pct,mean_bias,median_abs_error
final_grouped_holdout,test,test,rt_min,linear_ridge,42533,,42533.0,,,21.96078339171937,2.077456391372858,3.0985958193935264,0.7457552029178607,0.8026723321623198,9.459846465022704,,
final_grouped_holdout,test,test,rt_min,random_forest,42533,,42533.0,,,21.96078339171937,1.2439658352446121,2.1035809863958272,0.8828234555613708,0.902864034435925,5.664487523307877,,
final_grouped_holdout,test,test,rt_min,extra_trees,42533,,42533.0,,,21.96078339171937,1.1869334561532405,1.9935811034859794,0.8947577728937544,0.9090857431239975,5.404786500470611,,
final_grouped_holdout,test,test,rt_min,hist_gradient_boosting,42533,,42533.0,,,21.96078339171937,1.5746297864857342,2.3219945435720946,0.8572274873490812,0.8631962724420704,7.17018950735369,,
final_grouped_holdout,test,test,quality_score,linear_ridge,42533,,42533.0,,,21.96078339171937,2.1897889297193824e-05,0.0017421419911543882,0.5236112440031536,0.016796051256044636,,,
final_grouped_holdout,test,test,quality_score,random_forest,42533,,42533.0,,,21.96078339171937,6.901504332811005e-06,0.0007831342938220886,0.9037353381441806,0.9999999983415206,,,
final_grouped_holdout,test,test,quality_score,extra_trees,42533,,42533.0,,,21.96078339171937,8.302378300360321e-06,0.0009162948433655906,0.8682153310519709,0.9999999983415206,,,
final_grouped_holdout,test,test,quality_score,hist_gradient_boosting,42533,,42533.0,,,21.96078339171937,4.6371214546201355e-05,0.002132714650912508,0.28606296753503646,0.03286447771616613,,,
group_kfold,mean,GroupKFold,rt_min,linear_ridge,17367,,,4447.0,3.0,22.03951790446899,3.503058635682715,5.284297305259009,0.7406696311030684,0.8310071074366515,15.894443112897646,,
group_kfold,mean,GroupKFold,rt_min,random_forest,17367,,,4447.0,3.0,22.03951790446899,1.756430774726553,2.9911701522134053,0.9169248576403227,0.9441760771671843,7.969460957993091,,
group_kfold,mean,GroupKFold,rt_min,extra_trees,17367,,,4447.0,3.0,22.03951790446899,1.6394872627635921,2.8736578838921703,0.923198231802159,0.9492901866858365,7.438852654899273,,
group_kfold,mean,GroupKFold,rt_min,hist_gradient_boosting,17367,,,4447.0,3.0,22.03951790446899,1.911831037343014,3.04940764251759,0.9136983216553608,0.9362377741149016,8.674559242311506,,
group_kfold,mean,GroupKFold,quality_score,linear_ridge,17367,,,4447.0,3.0,22.03951790446899,0.00014371603877580302,0.0031314967570680165,0.7586973086286433,0.04527117483443307,,,
group_kfold,mean,GroupKFold,quality_score,random_forest,17367,,,4447.0,3.0,22.03951790446899,3.531602085640771e-05,0.0015369809915368546,0.9473407450141916,0.9999999303192705,,,
group_kfold,mean,GroupKFold,quality_score,extra_trees,17367,,,4447.0,3.0,22.03951790446899,3.39544827526533e-05,0.0014136202059039738,0.9461899708765106,0.9999999442512885,,,
group_kfold,mean,GroupKFold,quality_score,hist_gradient_boosting,17367,,,4447.0,3.0,22.03951790446899,0.00030692005104052193,0.0054612172543180544,0.3530888720517471,0.060403218103256336,,,
source_family_holdout,holdout,MCMRT,rt_min,linear_ridge,10073,7294.0,10073.0,343.0,,32.19229623746649,4.047397423173407,5.671165524053051,0.6826521413274311,0.7644911539987636,12.572565166888927,0.11535355768064325,3.0498115552512797
source_family_holdout,holdout,MCMRT,rt_min,random_forest,10073,7294.0,10073.0,343.0,,32.19229623746649,2.197030763270004,3.424202667529129,0.8843062632731163,0.9201670650787994,6.824709697822129,0.14692602056615078,1.4043749999999982
source_family_holdout,holdout,MCMRT,rt_min,extra_trees,10073,7294.0,10073.0,343.0,,32.19229623746649,2.287797785717845,3.4528636844052873,0.8823614149568836,0.9126014448335394,7.106662317101903,-0.19066350696177636,1.510360677083332
source_family_holdout,holdout,MCMRT,rt_min,hist_gradient_boosting,10073,7294.0,10073.0,343.0,,32.19229623746649,2.2226451895513617,3.3057271187486483,0.8921736443722921,0.9167331782955277,6.904276641703399,-0.08787643970956298,1.5202786392902539
