compound_name,inchikey,source_dataset,target_rt_min,candidate_runtime_min,candidate_ph,candidate_flow_ml_min,candidate_temperature_c,column_name,mobile_phase_system,predicted_rt_min,rt_fit_score,predicted_quality_score,confidence_score,ad_penalty,constraint_violation_count,suitable,label_source,runtime_penalty
Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,internal_lab,1.35,5.8,3.2,0.35,40.0,BEH C18 50x2.1 mm 1.7um,acn_formic_acid,1.35,1.0,0.91,0.85,0.0,0,1,synthetic_proxy,0.48333333333333334
Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,internal_lab,1.35,5.8,3.2,0.35,40.0,BEH C18 50x2.1 mm 1.7um,acn_formic_acid,3.225,0.0,0.66,0.55,0.2,1,0,synthetic_proxy,0.48333333333333334
Metoprolol,IUBSYMUCCVWXPE-UHFFFAOYSA-N,internal_lab,2.75,5.8,3.2,0.35,40.0,BEH C18 50x2.1 mm 1.7um,acn_formic_acid,2.75,1.0,0.84,0.85,0.0,0,1,synthetic_proxy,0.48333333333333334
Metoprolol,IUBSYMUCCVWXPE-UHFFFAOYSA-N,internal_lab,2.75,5.8,3.2,0.35,40.0,BEH C18 50x2.1 mm 1.7um,acn_formic_acid,4.625,0.31818181818181823,0.59,0.55,0.2,1,0,synthetic_proxy,0.48333333333333334
Atenolol,METKIMKYRPQLGS-UHFFFAOYSA-N,internal_lab,1.1,5.8,3.2,0.35,40.0,BEH C18 50x2.1 mm 1.7um,acn_formic_acid,1.1,1.0,0.77,0.85,0.0,0,1,synthetic_proxy,0.48333333333333334
Atenolol,METKIMKYRPQLGS-UHFFFAOYSA-N,internal_lab,1.1,5.8,3.2,0.35,40.0,BEH C18 50x2.1 mm 1.7um,acn_formic_acid,2.975,0.0,0.52,0.55,0.2,1,0,synthetic_proxy,0.48333333333333334
Warfarin,PJVWKTKQMONHTI-UHFFFAOYSA-N,internal_lab,5.95,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,5.95,1.0,0.88,0.85,0.0,0,1,synthetic_proxy,0.7333333333333334
Warfarin,PJVWKTKQMONHTI-UHFFFAOYSA-N,internal_lab,5.95,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,7.825,0.6848739495798319,0.63,0.55,0.2,1,0,synthetic_proxy,0.7333333333333334
Labetalol,SGUAFYQXFOLMHL-UHFFFAOYSA-N,internal_lab,3.6,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,3.6,1.0,0.73,0.85,0.0,0,1,synthetic_proxy,0.7333333333333334
Labetalol,SGUAFYQXFOLMHL-UHFFFAOYSA-N,internal_lab,3.6,8.8,4.8,0.3,45.0,CSH Phenyl-Hexyl 50x2.1 mm 1.7um,meoh_formic_acid,5.475,0.47916666666666663,0.48,0.55,0.2,1,0,synthetic_proxy,0.7333333333333334
Ibuprofen,HEFNNWSXXWATRW-UHFFFAOYSA-N,METLIN_SMRT,4.3,5.8,3.2,0.35,40.0,BEH C18 50x2.1 mm 1.7um,acn_formic_acid,4.3,1.0,0.86,0.85,0.0,0,1,synthetic_proxy,0.48333333333333334
