source_dataset,column_name,mobile_phase_system,n_rows,n_pairs,pairwise_order_accuracy,spearman_rt
ALL,ALL,ALL,3247,104519,0.855251198346712,0.9503069715761712
MCMRT:CM 01,ACQUITY PRIMER HSS T3 with VanGuard,meoh_formic_acid,73,2619,0.865979381443299,0.9009858247388935
MCMRT:CM 02,Acclaim RSLC 120 C18,meoh_formic_acid,73,2625,0.8666666666666667,0.899780169163728
MCMRT:CM 03,Acclaim RSLC 120 C18,meoh_formic_acid,73,2624,0.8612804878048781,0.8915954464149369
MCMRT:CM 04,Thermo Hypersil GOLD,meoh_formic_acid,73,2627,0.8682908260373049,0.9002907896324027
MCMRT:CM 05,ACQUITY BEH C18,meoh_formic_acid,73,2625,0.8700952380952381,0.903683134955972
MCMRT:CM 06,ACQUITY PRIMER HSS T3 with VanGuard,meoh_formic_acid,73,2628,0.860730593607306,0.8953474021967175
MCMRT:CM 07,Acclaim RSLC 120 C18,meoh_formic_acid,73,2624,0.8605182926829268,0.8923667894778445
MCMRT:CM 08,Acclaim RSLC 120 C18,meoh_formic_acid,73,2628,0.8603500761035008,0.8884363815870666
MCMRT:CM 09,Thermo Hypersil GOLD,meoh_formic_acid,73,2626,0.865955826351866,0.8982614196647574
MCMRT:CM 10,Acclaim RSLC 120 C18,meoh_formic_acid,73,2624,0.8620426829268293,0.892922156483138
MCMRT:CM 11,ACQUITY BEH C18,meoh_formic_acid,73,2627,0.8720974495622383,0.9053661095396861
MCMRT:CM 12,Acclaim RSLC 120 C18,meoh_formic_acid,73,2628,0.8645357686453576,0.8987103541898063
MCMRT:CM 13,ACQUITY PRIMER HSS T3 with VanGuard,meoh_formic_acid,73,2627,0.8660068519223448,0.8996120234441946
MCMRT:CM 14,ACQUITY UPLC HSS T3,meoh_formic_acid,73,2626,0.8651942117288652,0.8954074943601276
MCMRT:CM 15,Acclaim 120 C18,meoh_formic_acid,73,2627,0.8736200989722116,0.9092073091047729
MCMRT:CM 16,ACQUITY PRIMER HSS T3 with VanGuard,meoh_formic_acid,73,2627,0.8694328130947849,0.9045639313172582
MCMRT:CM 17,Thermo Hypersil GOLD,meoh_formic_acid,73,2625,0.8598095238095238,0.8915422887959087
MCMRT:CM 18,Thermo Hypersil GOLD,meoh_formic_acid,73,2626,0.8632901751713633,0.8961633989002729
MCMRT:CM 19,Acclaim RSLC 120 C18,acn_formic_acid,73,2628,0.856544901065449,0.8878810317166481
MCMRT:CM 20,ACQUITY PRIMER HSS T3 with VanGuard,acn_formic_acid,70,2409,0.8484848484848485,0.8789270639300063
MCMRT:CM 21,Thermo Hypersil GOLD,acn_formic_acid,70,2412,0.8528192371475953,0.8799286135988237
MCMRT:CM 22,ACQUITY PRIMER HSS T3 with VanGuard,acn_formic_acid,70,2413,0.8503937007874016,0.8784337055618994
MCMRT:CM 23,ACQUITY UPLC HSS T3,acn_formic_acid,70,2412,0.8548922056384743,0.8844602695794582
MCMRT:CM 24,Acclaim 120 C18,acn_formic_acid,70,2414,0.8537696768848384,0.8877691170763737
MCMRT:CM 25,ACQUITY PRIMER HSS T3 with VanGuard,meoh_ammonium,75,2769,0.8717948717948718,0.9042491152948874
MCMRT:CM 26,ACQUITY UPLC HSS T3,meoh_ammonium,75,2772,0.8737373737373737,0.9082270605280983
MCMRT:CM 27,ACQUITY PRIMER HSS T3 with VanGuard,meoh_ammonium,75,2771,0.8679177192349332,0.9023300808795637
MCMRT:CM 28,ACQUITY UPLC HSS T3,meoh_ammonium,75,2773,0.8716191849981969,0.9061864323311175
MCMRT:CM 29,Acclaim 120 C18,meoh_ammonium,75,2772,0.873015873015873,0.9092719568959154
MCMRT:CM 30,Acclaim RSLC 120 C18,meoh_ammonium,75,2774,0.8713049747656814,0.9020690047810292
RepoRT:0001,Waters ACQUITY UPLC HSS T3,meoh_formic_acid,12,66,0.8636363636363636,0.8951048951048951
RepoRT:0002,Waters ACQUITY UPLC HSS T3,meoh_formic_acid,88,3821,0.9026432870976184,0.9192919888628942
RepoRT:0003,Waters ACQUITY UPLC HSS T3,acn_formic_acid,13,78,0.8974358974358975,0.9256233470129666
RepoRT:0004,Thermo Scientific Hypersil GOLD,acn_formic_acid,43,872,0.8073394495412844,0.8155601413541758
RepoRT:0005,Waters ACQUITY UPLC HSS T3,acn_formic_acid,19,171,0.7660818713450293,0.7771447340796342
RepoRT:0006,Hichrom Alltima HP C18,acn_formic_acid,3,3,1.0,1.0
RepoRT:0007,Merck SeQuant ZIC-pHILIC,acn_unbuffered,32,493,0.7606490872210954,0.7080392604334618
RepoRT:0008,Thermo Scientific Hypersil GOLD,acn_formic_acid,5,10,0.8,0.7999999999999999
RepoRT:0009,Waters ACQUITY UPLC BEH C18,acn_formic_acid,90,3933,0.8171878972794304,0.7891543264173326
RepoRT:0010,Merck Supelco Ascentis Express C18,acn_formic_acid,14,91,0.9230769230769231,0.9504956246700047
RepoRT:0013,,acn_formic_acid,7,20,0.35,-0.4113766756037212
RepoRT:0014,,acn_formic_acid,2,1,1.0,0.9999999999999999
RepoRT:0015,Waters ACQUITY UPLC HSS T3,acn_formic_acid,18,153,0.7516339869281046,0.708011186841671
RepoRT:0016,Waters ACQUITY UPLC BEH C18,acn_formic_acid,5,10,0.5,-0.09999999999999999
RepoRT:0017,Phenomenex Kinetex C18,meoh_formic_acid,44,941,0.8065887353878852,0.8100088231482673
RepoRT:0018,Waters Atlantis T3,acn_formic_acid,28,378,0.783068783068783,0.782777528865715
RepoRT:0019,Waters XBridge C18,meoh_formic_acid,62,1877,0.8321790090570058,0.8352769481706729
RepoRT:0020,Merck SeQuant ZIC-pHILIC,other_unbuffered,21,210,0.7904761904761904,0.7517870332978075
RepoRT:0021,Waters Symmetry C18,acn_formic_acid,11,55,0.8545454545454545,0.8454545454545455
RepoRT:0023,Thermo Scientific Hypersil GOLD,acn_formic_acid,12,66,0.8181818181818182,0.7482517482517484
RepoRT:0024,Waters ACQUITY UPLC BEH C18,meoh_formic_acid,93,4182,0.851506456241033,0.8453400603838217
RepoRT:0025,Waters ACQUITY UPLC HSS T3,meoh_formic_acid,10,43,0.7441860465116279,0.7716196392887873
RepoRT:0026,Thermo Scientific Hypersil GOLD PFP,acn_formic_acid,2,1,1.0,0.9999999999999999
RepoRT:0027,Merck SeQuant ZIC-HILIC,acn_formic_acid,61,1830,0.774863387978142,0.7200486623948149
RepoRT:0028,Phenomenex Synergi Hydro-RP,acn_formic_acid,13,78,0.9102564102564102,0.9285714285714285
RepoRT:0029,Waters ACQUITY UPLC BEH Shield RP18,acn_formic_acid,13,78,0.9230769230769231,0.9505494505494506
RepoRT:0030,Phenomenex Luna Omega Polar C18,acn_formic_acid,12,66,0.9393939393939394,0.9580419580419581
RepoRT:0031,Phenomenex Luna Omega Polar C18,acn_formic_acid,11,55,0.8363636363636363,0.790909090909091
RepoRT:0032,Phenomenex Luna C18,acn_formic_acid,14,91,0.9230769230769231,0.9428571428571428
RepoRT:0033,,acn_formic_acid,13,78,0.8717948717948718,0.8956043956043955
RepoRT:0034,,acn_formic_acid,10,45,0.7333333333333333,0.5515151515151515
RepoRT:0036,Merck Supelco SUPELCOSIL LC-C18,acn_unbuffered,10,45,0.9333333333333333,0.960490759014502
RepoRT:0037,Phenomenex Kinetex PFP,acn_unbuffered,7,21,0.6666666666666666,0.39285714285714296
RepoRT:0038,Waters Atlantis T3,acn_unbuffered,10,45,0.8888888888888888,0.9240164263936983
RepoRT:0039,Merck LiChrospher RP-18,acn_formic_acid,14,91,0.8241758241758241,0.8197802197802198
RepoRT:0040,Waters ACQUITY UPLC BEH Shield RP18,acn_formic_acid,24,276,0.8695652173913043,0.8975864530517417
RepoRT:0041,Waters ACQUITY UPLC HSS T3,acn_formic_acid,23,253,0.7351778656126482,0.6505191106182937
RepoRT:0042,Phenomenex Kinetex EVO C18,acn_formic_acid,12,66,0.8939393939393939,0.9160839160839163
RepoRT:0043,Waters ACQUITY UPLC HSS T3,acn_unbuffered,10,45,0.9333333333333333,0.9515151515151514
RepoRT:0044,Merck SeQuant ZIC-HILIC,acn_formic_acid,140,5000,0.7922,0.7636534435892477
RepoRT:0045,Waters ACQUITY UPLC BEH C18,meoh_formic_acid,25,299,0.8561872909698997,0.8636276366718776
