source_dataset,n_test,rt_mae,rt_rmse,mean_bias,median_abs_error,ad_flagged
RepoRT:0039,10,10.99019531250001,14.024791188907448,-0.5604609375000067,7.14410156250003,0
RepoRT:0022,4,7.549113550992845,8.032198683747671,7.549113550992845,7.9039282955729195,0
MCMRT:CM 16,62,6.584235131048385,9.464961410955256,0.3817678931451682,4.823124999999987,0
RepoRT:0037,6,5.455708514759544,5.974494901528487,-0.15735502690885875,5.587110677083326,0
RepoRT:0036,10,4.802508066906244,6.033791244231205,-0.8793392325937566,3.926640625000017,0
RepoRT:0001,13,4.619806014214009,6.643126246776874,-4.468798947806558,2.722171875000001,0
MCMRT:CM 15,62,3.6602667411053846,5.146012362602062,0.8008910690623715,2.653762559895842,0
RepoRT:0002,87,3.6318117278067836,5.416062607811751,-0.3999101714592628,2.366484374999999,0
RepoRT:0032,12,3.606175616727869,4.4613800996117545,0.4684370239674453,3.121504980625005,0
MCMRT:CM 13,62,3.527480543188801,5.007540141450652,0.7601931439950833,2.7593749999999995,0
RepoRT:0017,34,3.355018497088466,4.546043186377797,-0.444565050398666,2.2013022135416636,0
MCMRT:CM 14,62,3.3369865074866003,4.690718541224769,0.8188848190623736,2.6144531249999954,0
MCMRT:CM 12,62,3.305707105981813,4.591990900011516,0.6279864574584578,2.7219062499999946,0
MCMRT:CM 22,61,3.251108543964566,4.681942859560959,0.8959587364317805,2.1880199114583405,0
MCMRT:CM 24,61,3.188683089302681,4.6302274077464345,0.837629251715251,2.3818750000000115,0
RepoRT:0028,13,3.1843946153609775,3.8574677636902552,-0.5140475942191496,2.654902367953124,0
MCMRT:CM 23,61,2.8646533842415476,4.0697887808490245,0.8500846900967384,2.1489322916666636,0
RepoRT:0006,5,2.726553560977088,3.8275939331828845,0.1070449976291619,1.7928957685625093,0
RepoRT:0021,10,2.630442978369704,3.4915649230229824,1.6983636009842868,2.4248496311050314,0
RepoRT:0020,28,2.4466385648843003,3.0705042985148774,-0.2381269933837412,1.8669080729140608,0
